医療法人社団耕生会　丸橋全人歯科,群馬県高崎市栄町２１－１,群馬県,院長　辻本　仁志,PRP(多血小板血漿)を使用した歯槽骨造成手術・上顎洞挙上術,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
濱田歯科,千葉県船橋市西船4－20－6ノイエワコー１Ｆ,千葉県,濱田和家,自家多血小板血漿を用いた顎・口腔組織の再生医療,セレンクリニック認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
牟礼南デンタルオフィス,東京都三鷹市牟礼7ー6ー10,東京都,松田　憲一,歯科用インプラント治療における自家多血小板血漿(Platelet Rich Plasma)を用いた口腔内の軟・硬組織の修復,医療法人社団オ－ラルホワイト　認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団いのうえ歯科医院,北海道帯広市西9条南2丁目12-2,北海道,院長　井上　裕之,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
平田口腔顎顔面外科,北海道札幌市清田区平岡3条6丁目1-50,北海道,院長　平田　章二,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 前多歯科クリニック,北海道函館市千歳町11-2,北海道,院長　前多　壯晃,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団岡本歯科医院,埼玉県さいたま市北区宮原町4-12-3,埼玉県,院長　岡本　順孝,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団ふじしろ歯科クリニック,兵庫県姫路市坂田町11番地,兵庫県,院長　藤城　聡一郎,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
吉田歯科クリニック,神奈川県横浜市港南区港南台7-8-44,神奈川,院長　吉田　健,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団小林歯科医院,兵庫県神戸市東灘区本庄町2丁目5-12 ファミール東灘壱番館,兵庫県,院長　小林　文夫,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
にん歯科クリニック,兵庫県神戸市東灘区西岡本2丁目26-1-132,兵庫県,院長　任　順興,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
とみぐち歯科,大阪府茨木市西中条町1-22　 エンゼルウチダ1Ｆ,大阪府,院長　富口　直樹,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
小林歯科医院,兵庫県加古川市東神吉町神吉230-19,兵庫県,院長　藤家　恵子,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
こばやし歯科クリニック,東京都江戸川区中央4-11-8-4F,東京都,院長　小林　健一郎,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
神吉歯科医院,大阪府大阪市平野区瓜破3-3-16,大阪府,院長　神吉　弘文,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人大下歯科,大阪府大阪市淀川区東三国4-19-17-101,大阪府,院長　大下　康子,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
紀南病院,和歌山県田辺市新庄町46-70,和歌山,病院長　阪越　信雄,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
いまとみ歯科,北海道旭川市末広東1条8丁目1-11,北海道,院長　今富　収治,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 玉川歯科医院,兵庫県神戸市中央区北長狭通三丁目7番3号,兵庫県,院長　玉川　浩,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
渡辺歯科,大阪府羽曳野市古市4-1-4　大平ビル2階,大阪府,院長　渡邉　嘉男,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
