医療法人社団耕生会　丸橋全人歯科,群馬県高崎市栄町２１－１,群馬県,院長　辻本　仁志,PRP(多血小板血漿)を使用した歯槽骨造成手術・上顎洞挙上術,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
濱田歯科,千葉県船橋市西船4－20－6ノイエワコー１Ｆ,千葉県,濱田和家,自家多血小板血漿を用いた顎・口腔組織の再生医療,セレンクリニック認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
牟礼南デンタルオフィス,東京都三鷹市牟礼7ー6ー10,東京都,松田　憲一,歯科用インプラント治療における自家多血小板血漿(Platelet Rich Plasma)を用いた口腔内の軟・硬組織の修復,医療法人社団オ－ラルホワイト　認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団いのうえ歯科医院,北海道帯広市西9条南2丁目12-2,北海道,院長　井上　裕之,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
平田口腔顎顔面外科,北海道札幌市清田区平岡3条6丁目1-50,北海道,院長　平田　章二,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 前多歯科クリニック,北海道函館市千歳町11-2,北海道,院長　前多　壯晃,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団岡本歯科医院,埼玉県さいたま市北区宮原町4-12-3,埼玉県,院長　岡本　順孝,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団ふじしろ歯科クリニック,兵庫県姫路市坂田町11番地,兵庫県,院長　藤城　聡一郎,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
吉田歯科クリニック,神奈川県横浜市港南区港南台7-8-44,神奈川,院長　吉田　健,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団小林歯科医院,兵庫県神戸市東灘区本庄町2丁目5-12 ファミール東灘壱番館,兵庫県,院長　小林　文夫,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
にん歯科クリニック,兵庫県神戸市東灘区西岡本2丁目26-1-132,兵庫県,院長　任　順興,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
とみぐち歯科,大阪府茨木市西中条町1-22　 エンゼルウチダ1Ｆ,大阪府,院長　富口　直樹,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
小林歯科医院,兵庫県加古川市東神吉町神吉230-19,兵庫県,院長　藤家　恵子,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
こばやし歯科クリニック,東京都江戸川区中央4-11-8-4F,東京都,院長　小林　健一郎,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
神吉歯科医院,大阪府大阪市平野区瓜破3-3-16,大阪府,院長　神吉　弘文,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人大下歯科,大阪府大阪市淀川区東三国4-19-17-101,大阪府,院長　大下　康子,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
紀南病院,和歌山県田辺市新庄町46-70,和歌山,病院長　阪越　信雄,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
いまとみ歯科,北海道旭川市末広東1条8丁目1-11,北海道,院長　今富　収治,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 玉川歯科医院,兵庫県神戸市中央区北長狭通三丁目7番3号,兵庫県,院長　玉川　浩,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
渡辺歯科,大阪府羽曳野市古市4-1-4　大平ビル2階,大阪府,院長　渡邉　嘉男,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
たけさき歯科医院,宮崎県小林市細野1585-48,宮崎県,院長　嶽崎　晃一,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団いのこ歯科医院,北海道北見市高栄東町1丁目4番31号,北海道,院長　猪子　光晴,自己血由来成分PRGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団さかた歯科医院,北海道伊達市舟岡町176-11,北海道,院長　坂田　純一,自己血由来成分PRFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人和光会高田歯科医院,北海道帯広市大通南22丁目15,北海道,院長　高田　博雅,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人九州惠会　上田歯科医院,長崎県南島原市深江町丙281-1,長崎県,院長　上田　倫生,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
あさひまち歯科クリニック,北海道札幌市豊平区旭町１丁目１−１６,北海道,院長　佐々木　泰裕,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団壮葉会　八重洲歯科クリニック,東京都中央区京橋1-1-9 千疋屋ビル8階,東京都,院長　木村　陽介,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団賀陽歯科医院,北海道中川郡本別町南4丁目110番地１,北海道,院長　賀陽　真哉,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人柏葉会　三嶋歯科医院,北海道岩見沢市7条西5丁目20-1,北海道,院長　三嶋　直之,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団音更歯科医院,北海道河東郡音更町雄飛が丘仲区1-232,北海道,院長　成井　勝美,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人てらさき歯科医院,長崎県北松浦郡佐々町本田原免49-1,長崎県,院長　寺﨑　裕憲,自己血由来血小板を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人畠山歯科医院,鹿児島県奄美市名瀬浦上町13-6,鹿児島,院長　畠　義一郎,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
あつさか歯科クリニック,福岡県大牟田市本町4-5-22,福岡県,院長　阿津坂　崇士,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
さかきデンタルクリニック,福岡県行橋市南泉3-8-18,福岡県,院長　榊　恭範,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ばば歯科クリニック,福岡県福岡市早良区百道浜2-1-22　 SRPビル1F,福岡県,院長　馬場　正英,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
宮島歯科医院,長野県長野市大字高田1368-1,長野県,院長　宮島　快幹,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
睡眠科学研究所江崎歯科内科医院,福岡県八女市新庄1266-1,福岡県,院長　江﨑　和久,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
船越歯科医院,福岡県福岡市中央区天神1-4-1 西日本新聞会館15階,福岡県,院長　船越　栄次,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ななほし歯科クリニック,広島県広島市東区光町1-8-6 サンハウス山岡1F,広島県,院長　前島　真紀子,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
あいおい通り歯科クリニック,広島県広島市西区上天満町10-39 ニューてんま1F,広島県,院長　大井手　和久,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
戸﨑歯科医院,鳥取県鳥取市桂木244,鳥取県,院長　戸﨑　正悟,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
平野歯科医院,山口県周南市楠木1-8-11,山口県,院長　平野　健一郎,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
小倉歯科クリニック,広島県福山市南蔵王町5-16-35,広島県,院長　小倉　嘉弘,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人佐々木歯科医院,鳥取県鳥取市商栄町156-3,鳥取県,院長　佐々木　道寿,自己血由来成分PRFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団翔志会たけち歯科クリニック,京都府京都市中京区壬生神明町1-39 articles 1F,京都府,院長　武知　幸久,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人高木歯科医院,岡山県総社市真壁1021,岡山県,理事長　小林　正人,自己血由来成分PRFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団佑逵会美美歯科,香川県高松市多肥下町1548番地14,香川県,田中　美美,自己血由来成分PRFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
しまだ歯科医院,山口県防府市華園町1－28,山口県,院長　島田　昌明,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ひらた歯科,広島県福山市北吉津町2丁目1番14号,広島県,院長　平田　史朗,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ツルミ歯科医院,山口県下関市唐戸町3-8　 三共ビル2階,山口県,院長　鶴見　文夫,自己血由来成分PRFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
古味歯科医院,愛媛県西条市壬生川92-5　1階,愛媛県,院長　古味　伸一,自己血由来成分PRFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
なみおか歯科医院,青森県三沢市松園町2-12-10,青森県,院長　濤岡　一司,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
吉田歯科,埼玉県さいたま市浦和区北浦和4-2-6 中村ビル2F,埼玉県,院長　吉田　俊樹,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
生熊歯科,広島県庄原市東城町東城字下町75番地3,広島県,院長　生熊　克成,自己末梢血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
TAKU歯科クリニック,秋田県秋田市寺内三千刈325-3,秋田県,院長　佐藤　拓,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団海津歯科医院,新潟県新潟市秋葉区新津本町3-12-27,新潟県,院長　海津　基生,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
あべ歯科医院,福島県相馬市馬場野字山越83,福島県,院長　阿部　裕哉,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人慈啓会　千葉歯科医院,宮城県塩竈市東玉川町2-31,宮城県,院長　千葉　純,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
いしだ駅前歯科,岡山県倉敷市新倉敷駅前4-62-1,岡山県,院長　石田 浩之,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団　吉野歯科医院,埼玉県八潮市八潮2-10-1,埼玉県,院長　吉野　忠彦,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
まちの歯科医院,福岡県筑後市大字和泉483-4,福岡県,院長　内山　秀樹,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人宇治山田歯科医院,三重県伊勢市岩渕2-4-37,三重県,院長　片山　昇,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
岡田歯科医院,愛知県豊川市千歳通4-8 ハクヨメディックス3F,愛知県,院長　岡田　昌通,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
覚本歯科医院,栃木県小山市駅南町3-26-18,栃木県,院長　覚本　嘉美,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
コスモ歯科,愛知県一宮市多加木4-2-5,愛知県,院長　竹原　公善,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団　アオキ歯科医院,兵庫県尼崎市長洲中通一丁目1番7号 M&Mg leam尼崎駅前　1F,兵庫県,院長　青木　誠喜,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
かすや歯科医院,愛知県名古屋市瑞穂区惣作町3丁目67,愛知県,院長　粕谷　幸生,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
堀田歯科,愛知県名古屋市守山区守牧町13,愛知県,院長　堀田　康記,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
タカミ歯科,愛知県名古屋市熱田区花町2-7 現代ハウス金山 1F,愛知県,院長　星野　考望,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
さとう歯科医院,静岡県御殿場市新橋2077-4,静岡県,院長　佐藤　栄樹,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人　岡田歯科医院,愛知県豊田市畝部東町中切１１４,愛知県,岡田光明,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
平田歯科クリニック,三重県伊勢市二見町荘71-3,三重県,院長　平田　貴士,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
吉岡歯科医院,愛知県名古屋市中川区太平通2-38,愛知県,院長　吉岡　喜久雄,PRF（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
